"","IdLandkreis","geometry","Region","Federal.State","Bevölkerunginsgesamt","Meldedatum","sum.cases","sevenDaySum","caserate"
"1",1001,"{""type"":""Polygon"",""coordinates"":[[[9.422934,54.823223],[9.401891,54.806521],[9.405607,54.795559],[9.357588,54.780849],[9.379015,54.7532],[9.453088,54.752118],[9.47471,54.772379],[9.493335,54.769252],[9.50218,54.779275],[9.505431,54.810207],[9.49195,54.822636],[9.467335,54.823632],[9.45273,54.807549],[9.434258,54.803377],[9.422934,54.823223]]]}","Flensburg (Kreisfreie Stadt)","Schleswig-Holstein",89934,"2022-01-25",215,1083,1204.21642537861
"2",1002,"{""type"":""Polygon"",""coordinates"":[[[10.174162,54.345745],[10.169998,54.328755],[10.142605,54.352524],[10.160742,54.384693],[10.190583,54.389593],[10.192737,54.402627],[10.168517,54.432845],[10.157364,54.429193],[10.146353,54.410785],[10.131828,54.402996],[10.139649,54.38888],[10.116299,54.370493],[10.070131,54.371125],[10.061449,54.35998],[10.03926,54.360494],[10.032632,54.349336],[10.070436,54.343733],[10.097204,54.350529],[10.105324,54.336656],[10.092818,54.328454],[10.058529,54.329946],[10.042066,54.312127],[10.057636,54.28837],[10.089917,54.289566],[10.094555,54.263128],[10.123428,54.255514],[10.155107,54.258029],[10.183869,54.253184],[10.209281,54.28012],[10.189896,54.297853],[10.189882,54.314625],[10.218049,54.3213],[10.204514,54.341146],[10.174162,54.345745]]]}","Kiel (Kreisfreie Stadt)","Schleswig-Holstein",246601,"2022-01-25",569,2536,1028.38188004104
"3",1003,"{""type"":""Polygon"",""coordinates"":[[[10.903662,53.956822],[10.888775,53.958649],[10.878837,53.985947],[10.855785,53.994062],[10.840886,53.991894],[10.849661,53.980186],[10.827629,53.964491],[10.818793,53.937387],[10.80178,53.929696],[10.780965,53.928442],[10.713947,53.912263],[10.702225,53.914222],[10.690883,53.902338],[10.661551,53.896801],[10.646837,53.881396],[10.62976,53.890254],[10.603786,53.890054],[10.579576,53.897626],[10.563511,53.884646],[10.594289,53.872257],[10.591908,53.853466],[10.615325,53.843116],[10.565397,53.834735],[10.564496,53.82153],[10.58228,53.804649],[10.604405,53.805979],[10.601666,53.777045],[10.639996,53.768239],[10.638384,53.786038],[10.6517,53.793506],[10.682969,53.781992],[10.705201,53.787302],[10.735674,53.803131],[10.722269,53.823136],[10.733241,53.827778],[10.749961,53.809383],[10.762964,53.811153],[10.747851,53.833364],[10.747711,53.851511],[10.771979,53.87399],[10.802403,53.877082],[10.819521,53.893613],[10.874724,53.914542],[10.886304,53.924836],[10.911024,53.897952],[10.950854,53.904866],[10.939332,53.919334],[10.894527,53.925421],[10.908258,53.945018],[10.903662,53.956822]]]}","Lübeck (Kreisfreie Stadt)","Schleswig-Holstein",215846,"2022-01-25",592,2369,1097.54176588864
"4",1004,"{""type"":""Polygon"",""coordinates"":[[[10.034851,54.128785],[10.016158,54.13351],[9.995446,54.149719],[9.979021,54.136612],[9.951513,54.124092],[9.933834,54.085933],[9.936914,54.053533],[9.954902,54.053002],[9.944359,54.021762],[9.961957,54.018471],[9.975883,54.028473],[10.000721,54.024345],[10.015125,54.041646],[10.035648,54.037593],[10.055895,54.057129],[10.029384,54.057984],[10.033759,54.072703],[10.018754,54.083146],[10.025836,54.125925],[10.034851,54.128785]]]}","Neumünster (Kreisfreie Stadt)","Schleswig-Holstein",79905,"2022-01-25",129,935,1170.13954070459
"5",1051,"{""type"":""Polygon"",""coordinates"":[[[9.175955,54.334932],[9.14663,54.319974],[9.133092,54.350063],[9.10738,54.357477],[9.091812,54.369938],[9.075953,54.362585],[9.037144,54.368372],[9.008835,54.378897],[8.98324,54.361853],[8.992899,54.332881],[8.967536,54.316302],[8.950069,54.314202],[8.924187,54.293682],[8.900431,54.280611],[8.896975,54.262128],[8.844805,54.266329],[8.832132,54.239423],[8.83373,54.214462],[8.818816,54.205137],[8.807376,54.175609],[8.816773,54.16775],[8.836924,54.133171],[8.863436,54.122975],[8.908022,54.135111],[8.9292,54.129247],[8.952177,54.088754],[8.98549,54.060127],[8.981187,54.045985],[8.967097,54.03603],[8.939409,54.033682],[8.927046,54.041646],[8.881443,54.046052],[8.840803,54.035658],[8.832592,54.023929],[8.873434,53.982585],[8.909395,53.931708],[8.922602,53.920757],[8.97026,53.892196],[9.043293,53.900628],[9.093607,53.888314],[9.198434,53.889432],[9.209319,53.933689],[9.238743,53.948508],[9.244588,53.957029],[9.275081,53.978138],[9.291158,53.982553],[9.305198,54.016168],[9.291476,54.030732],[9.304123,54.042953],[9.311084,54.063437],[9.31683,54.092298],[9.313769,54.118667],[9.325486,54.135897],[9.372137,54.152815],[9.442803,54.173819],[9.430555,54.187456],[9.438606,54.200062],[9.433205,54.236954],[9.441262,54.247215],[9.410127,54.261362],[9.393511,54.288965],[9.364599,54.292766],[9.3626,54.280149],[9.32427,54.281062],[9.307634,54.272213],[9.287785,54.275265],[9.272946,54.302196],[9.258901,54.344048],[9.231944,54.346617],[9.227534,54.32582],[9.212284,54.326644],[9.194681,54.316422],[9.191215,54.333377],[9.175955,54.334932]]]}","Dithmarschen (Kreis)","Schleswig-Holstein",133251,"2022-01-25",124,688,516.318826875596
"6",1053,"{""type"":""Polygon"",""coordinates"":[[[10.762964,53.811153],[10.749961,53.809383],[10.733241,53.827778],[10.722269,53.823136],[10.735674,53.803131],[10.705201,53.787302],[10.682969,53.781992],[10.6517,53.793506],[10.638384,53.786038],[10.639996,53.768239],[10.601666,53.777045],[10.604405,53.805979],[10.58228,53.804649],[10.540472,53.79141],[10.533888,53.762743],[10.510704,53.761086],[10.503502,53.753468],[10.485838,53.76546],[10.46984,53.766239],[10.443336,53.753059],[10.441836,53.740786],[10.399366,53.737363],[10.446174,53.713539],[10.443177,53.700546],[10.411801,53.702729],[10.405015,53.669274],[10.432796,53.657477],[10.440378,53.643976],[10.460031,53.632286],[10.493182,53.633487],[10.515294,53.620386],[10.508869,53.608903],[10.470425,53.596761],[10.436563,53.605374],[10.418379,53.602228],[10.387608,53.577997],[10.353056,53.571365],[10.346707,53.565049],[10.307144,53.551875],[10.292252,53.538929],[10.299524,53.522164],[10.273645,53.525759],[10.268208,53.5073],[10.243584,53.508608],[10.236679,53.496354],[10.238367,53.483264],[10.255587,53.47825],[10.26943,53.46406],[10.297844,53.451592],[10.325959,53.44964],[10.307954,53.433201],[10.330768,53.424967],[10.367746,53.426249],[10.444011,53.392863],[10.469184,53.385844],[10.5052,53.372906],[10.555388,53.368931],[10.58015,53.359831],[10.595047,53.363928],[10.599105,53.377828],[10.615628,53.383287],[10.618845,53.425846],[10.630321,53.451096],[10.652043,53.461477],[10.692973,53.455138],[10.701661,53.478255],[10.720736,53.476066],[10.777781,53.495181],[10.786431,53.510457],[10.810643,53.51619],[10.820058,53.53522],[10.831472,53.542213],[10.826863,53.57617],[10.864711,53.564915],[10.911107,53.572574],[10.923795,53.584186],[10.918235,53.594916],[10.929563,53.628707],[10.951919,53.647622],[10.944045,53.660059],[10.941767,53.684542],[10.923153,53.696244],[10.886417,53.705663],[10.857706,53.701301],[10.82324,53.711935],[10.807185,53.725577],[10.807155,53.738515],[10.771399,53.749505],[10.758314,53.764258],[10.773252,53.792387],[10.762964,53.811153]]]}","Herzogtum Lauenburg (Kreis)","Schleswig-Holstein",199152,"2022-01-25",148,1673,840.061862296136
"7",1054,"{""type"":""MultiPolygon"",""coordinates"":[[[[8.705041,54.557561],[8.686379,54.557129],[8.641028,54.545399],[8.622811,54.534962],[8.597877,54.534328],[8.587546,54.527829],[8.59224,54.508679],[8.620703,54.48998],[8.638114,54.489406],[8.675771,54.497321],[8.696814,54.517497],[8.710874,54.552964],[8.705041,54.557561]]],[[[8.518182,54.578798],[8.517268,54.569926],[8.547985,54.557024],[8.57557,54.560456],[8.557258,54.578557],[8.533049,54.575237],[8.518182,54.578798]]],[[[8.737438,54.643364],[8.713805,54.639154],[8.719132,54.627309],[8.737438,54.643364]]],[[[8.656802,54.643674],[8.636998,54.649229],[8.602667,54.641935],[8.553668,54.635459],[8.548515,54.620293],[8.584645,54.634121],[8.602589,54.633001],[8.656802,54.643674]]],[[[8.340117,54.688077],[8.322433,54.688535],[8.297226,54.674556],[8.301081,54.657103],[8.365439,54.609132],[8.395453,54.613155],[8.361045,54.650899],[8.340117,54.688077]]],[[[8.563333,54.752351],[8.537343,54.755872],[8.517776,54.751088],[8.46258,54.749891],[8.427282,54.746184],[8.410977,54.737081],[8.397173,54.719857],[8.396507,54.704187],[8.431797,54.69388],[8.453604,54.691954],[8.484872,54.680304],[8.566294,54.679682],[8.585662,54.713931],[8.588693,54.740983],[8.563333,54.752351]]],[[[9.113357,54.873544],[9.090455,54.870185],[9.04824,54.871877],[9.014756,54.886406],[8.947939,54.902563],[8.892036,54.904913],[8.848694,54.897278],[8.837005,54.905464],[8.79896,54.904576],[8.776912,54.892669],[8.755057,54.896848],[8.727996,54.892707],[8.686892,54.908839],[8.638003,54.911252],[8.636994,54.895049],[8.602399,54.887011],[8.511309,54.88419],[8.48649,54.876743],[8.420056,54.878818],[8.372664,54.896856],[8.362088,54.910209],[8.362867,54.943308],[8.353077,54.96722],[8.372006,54.990811],[8.395487,55.004054],[8.43899,55.015437],[8.426041,55.033755],[8.381911,55.035693],[8.346229,54.981339],[8.318183,54.944765],[8.297903,54.910657],[8.287828,54.874476],[8.278556,54.752208],[8.290957,54.741874],[8.301762,54.773039],[8.292048,54.785986],[8.296904,54.811114],[8.296057,54.842395],[8.308139,54.859116],[8.33027,54.862188],[8.339968,54.880212],[8.364263,54.875908],[8.37573,54.860133],[8.416315,54.847465],[8.513538,54.882002],[8.603369,54.885708],[8.612653,54.877877],[8.608398,54.840397],[8.643757,54.819449],[8.658768,54.795719],[8.685924,54.791766],[8.701674,54.773688],[8.697389,54.760356],[8.708556,54.744127],[8.692588,54.725245],[8.719443,54.725725],[8.742086,54.715627],[8.756247,54.679129],[8.778899,54.666756],[8.830706,54.653033],[8.846531,54.625464],[8.881446,54.611344],[8.892968,54.596777],[8.868609,54.561809],[8.876156,54.551309],[8.871453,54.528293],[8.834629,54.507631],[8.812619,54.503569],[8.8181,54.485041],[8.807439,54.469918],[8.841772,54.460616],[8.892438,54.460384],[8.924559,54.477958],[8.930812,54.49119],[8.947684,54.499317],[8.946063,54.512936],[8.983176,54.524682],[9.008447,54.496651],[9.014537,54.474701],[9.001556,54.461702],[8.962402,54.453833],[8.949106,54.437954],[8.913645,54.41756],[8.856039,54.4027],[8.808387,54.409358],[8.741761,54.398756],[8.699246,54.396656],[8.673802,54.399981],[8.652252,54.389276],[8.655436,54.374841],[8.689593,54.373673],[8.687947,54.3537],[8.635893,54.337241],[8.621528,54.343071],[8.602709,54.340705],[8.601437,54.315942],[8.630671,54.301821],[8.657518,54.283849],[8.686898,54.278131],[8.705064,54.287154],[8.73761,54.293679],[8.791704,54.281848],[8.82006,54.290975],[8.841787,54.278455],[8.844805,54.266329],[8.896975,54.262128],[8.900431,54.280611],[8.924187,54.293682],[8.950069,54.314202],[8.967536,54.316302],[8.992899,54.332881],[8.98324,54.361853],[9.008835,54.378897],[9.037144,54.368372],[9.075953,54.362585],[9.091812,54.369938],[9.10738,54.357477],[9.133092,54.350063],[9.14663,54.319974],[9.175955,54.334932],[9.204785,54.381765],[9.257203,54.370862],[9.264443,54.399856],[9.275278,54.413843],[9.327013,54.447808],[9.318081,54.472819],[9.286405,54.497172],[9.280738,54.515253],[9.297863,54.525248],[9.292668,54.536492],[9.311224,54.553213],[9.292111,54.560582],[9.284957,54.571538],[9.262508,54.574651],[9.253851,54.60393],[9.242143,54.607665],[9.232189,54.624146],[9.212569,54.635043],[9.222578,54.648035],[9.186446,54.661211],[9.167199,54.686476],[9.171744,54.698704],[9.147377,54.699829],[9.124489,54.690607],[9.075385,54.696618],[9.078257,54.756358],[9.111276,54.767942],[9.119217,54.787254],[9.099072,54.815116],[9.114554,54.858812],[9.113357,54.873544]]]]}","Nordfriesland (Kreis)","Schleswig-Holstein",167147,"2022-01-25",231,1375,822.629182695472
"8",1055,"{""type"":""MultiPolygon"",""coordinates"":[[[[10.840886,53.991894],[10.803906,53.992071],[10.777494,54.004679],[10.751847,54.037079],[10.757102,54.056639],[10.783797,54.069784],[10.811862,54.096688],[10.823868,54.08905],[10.864409,54.084874],[10.888143,54.092669],[10.926232,54.118441],[10.948873,54.137863],[11.051172,54.178727],[11.070495,54.192857],[11.093783,54.19905],[11.081906,54.251834],[11.083768,54.279279],[11.076667,54.302645],[11.070532,54.358099],[11.082242,54.352843],[11.125889,54.373979],[11.130225,54.383325],[11.110461,54.396794],[11.091,54.391892],[11.077889,54.37891],[11.028189,54.368121],[10.992109,54.370476],[10.971571,54.38236],[10.931205,54.38194],[10.909691,54.368928],[10.873967,54.359176],[10.82923,54.330024],[10.789503,54.312133],[10.758652,54.305986],[10.739807,54.309587],[10.71375,54.305073],[10.708861,54.290887],[10.716043,54.24166],[10.698966,54.232035],[10.699378,54.218538],[10.714964,54.212837],[10.67682,54.191605],[10.66999,54.207123],[10.605591,54.23196],[10.573531,54.235404],[10.547817,54.22826],[10.534702,54.194707],[10.525952,54.186097],[10.49507,54.184672],[10.484143,54.172745],[10.509745,54.151624],[10.516059,54.13985],[10.541336,54.133836],[10.531125,54.118402],[10.502171,54.123767],[10.482191,54.116267],[10.422361,54.116163],[10.427354,54.092268],[10.417471,54.083245],[10.454201,54.059976],[10.48452,54.058735],[10.504795,54.072621],[10.542095,54.06559],[10.564162,54.068123],[10.547934,54.044141],[10.55182,54.026814],[10.540462,54.017711],[10.50148,54.027418],[10.475692,54.012937],[10.456013,53.989408],[10.500305,53.984871],[10.517478,53.980073],[10.515887,53.963016],[10.544419,53.949455],[10.550228,53.929252],[10.533857,53.91881],[10.545275,53.909492],[10.579302,53.906259],[10.579576,53.897626],[10.603786,53.890054],[10.62976,53.890254],[10.646837,53.881396],[10.661551,53.896801],[10.690883,53.902338],[10.702225,53.914222],[10.713947,53.912263],[10.780965,53.928442],[10.80178,53.929696],[10.818793,53.937387],[10.827629,53.964491],[10.849661,53.980186],[10.840886,53.991894]]],[[[11.086176,54.530574],[11.060667,54.533291],[11.031163,54.511804],[11.010318,54.482557],[11.004257,54.449002],[11.021643,54.437796],[11.06319,54.452814],[11.094239,54.445681],[11.100828,54.428975],[11.095705,54.40922],[11.120966,54.402075],[11.177588,54.402138],[11.186808,54.42083],[11.203388,54.412376],[11.254996,54.41134],[11.312663,54.402258],[11.298077,54.430765],[11.275844,54.456295],[11.253516,54.471148],[11.241738,54.494389],[11.2258,54.505032],[11.196784,54.509059],[11.165483,54.522483],[11.086176,54.530574]]]]}","Ostholstein (Kreis)","Schleswig-Holstein",201487,"2022-01-25",300,1870,928.099579625485
"9",1056,"{""type"":""MultiPolygon"",""coordinates"":[[[[9.751445,53.893039],[9.67015,53.889298],[9.647517,53.879443],[9.656085,53.857141],[9.67525,53.851394],[9.661756,53.80262],[9.642626,53.773685],[9.567288,53.753259],[9.58342,53.722192],[9.557299,53.714629],[9.517639,53.713861],[9.553391,53.669969],[9.549435,53.657754],[9.566178,53.631715],[9.555455,53.620734],[9.618299,53.596028],[9.641283,53.590223],[9.672283,53.571438],[9.734365,53.565216],[9.743436,53.597576],[9.763673,53.627495],[9.770634,53.61623],[9.786687,53.611559],[9.798115,53.595922],[9.816157,53.58622],[9.836707,53.58753],[9.904691,53.641795],[9.904752,53.651787],[9.945376,53.652928],[9.934876,53.678973],[9.943891,53.70428],[9.978667,53.742786],[9.984677,53.759989],[9.971637,53.770059],[9.940644,53.752],[9.915942,53.75035],[9.896807,53.755038],[9.895583,53.77557],[9.867221,53.781736],[9.881477,53.798042],[9.880838,53.810904],[9.849804,53.829647],[9.821373,53.825937],[9.824481,53.845772],[9.763599,53.87315],[9.751445,53.893039]]],[[[9.730315,53.558019],[9.716279,53.558517],[9.730104,53.557581],[9.730315,53.558019]]]]}","Pinneberg (Kreis)","Schleswig-Holstein",317085,"2022-01-25",138,3521,1110.42780327042
"10",1057,"{""type"":""Polygon"",""coordinates"":[[[10.71375,54.305073],[10.684097,54.310622],[10.678208,54.321449],[10.657655,54.328489],[10.639339,54.347474],[10.598534,54.363846],[10.541827,54.379356],[10.473699,54.392473],[10.421203,54.411706],[10.387982,54.426446],[10.327766,54.43587],[10.302108,54.433153],[10.289806,54.419451],[10.234114,54.41569],[10.218778,54.406621],[10.199173,54.380322],[10.195952,54.36602],[10.183283,54.363009],[10.174162,54.345745],[10.204514,54.341146],[10.218049,54.3213],[10.189882,54.314625],[10.189896,54.297853],[10.209281,54.28012],[10.183869,54.253184],[10.155107,54.258029],[10.123428,54.255514],[10.103811,54.237386],[10.129956,54.231127],[10.120856,54.169649],[10.126771,54.142303],[10.107953,54.129269],[10.094631,54.1329],[10.071767,54.125369],[10.05627,54.132114],[10.034851,54.128785],[10.025836,54.125925],[10.018754,54.083146],[10.033759,54.072703],[10.029384,54.057984],[10.055895,54.057129],[10.087769,54.055595],[10.138335,54.060161],[10.155838,54.055316],[10.174707,54.059264],[10.186984,54.069319],[10.244919,54.08735],[10.266348,54.090733],[10.283242,54.1004],[10.354824,54.107715],[10.357489,54.082625],[10.373846,54.072835],[10.419035,54.072083],[10.417471,54.083245],[10.427354,54.092268],[10.422361,54.116163],[10.482191,54.116267],[10.502171,54.123767],[10.531125,54.118402],[10.541336,54.133836],[10.516059,54.13985],[10.509745,54.151624],[10.484143,54.172745],[10.49507,54.184672],[10.525952,54.186097],[10.534702,54.194707],[10.547817,54.22826],[10.573531,54.235404],[10.605591,54.23196],[10.66999,54.207123],[10.67682,54.191605],[10.714964,54.212837],[10.699378,54.218538],[10.698966,54.232035],[10.716043,54.24166],[10.708861,54.290887],[10.71375,54.305073]]]}","Plön (Kreis)","Schleswig-Holstein",129353,"2022-01-25",169,1218,941.609394447752
