"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"1","2022-05-30",32228,23933
"2","2022-05-29",5147,26027.4285714286
"3","2022-05-28",9788,26263.4285714286
"4","2022-05-27",31242,26814.2857142857
"5","2022-05-26",8034,28046
"6","2022-05-25",34644,33221.8571428571
"7","2022-05-24",46448,35948.4285714286
"8","2022-05-23",46889,39042.8571428571
"9","2022-05-22",6799,41738.7142857143
"10","2022-05-21",13644,42129.5714285714
"11","2022-05-20",39864,43037.4285714286
"12","2022-05-19",44265,45470.8571428571
"13","2022-05-18",53730,48438
"14","2022-05-17",68109,51821
"15","2022-05-16",65760,55653.7142857143
"16","2022-05-15",9535,58381.7142857143
"17","2022-05-14",19999,58904.1428571429
"18","2022-05-13",56898,59866.5714285714
"19","2022-05-12",65035,61326.4285714286
"20","2022-05-11",77411,63504.5714285714
"21","2022-05-10",94938,65245.4285714286
"22","2022-05-09",84856,66902.5714285714
"23","2022-05-08",13192,67185.1428571429
"24","2022-05-07",26736,67543.7142857143
"25","2022-05-06",67117,68557.7142857143
"26","2022-05-05",80282,70119.8571428571
"27","2022-05-04",89597,72150.2857142857
"28","2022-05-03",106538,75826.7142857143
"29","2022-05-02",86834,80495.2857142857
"30","2022-05-01",15702,85049.5714285714
"31","2022-04-30",33834,86655.4285714286
"32","2022-04-29",78052,89578.8571428571
"33","2022-04-28",94495,95490.7142857143
"34","2022-04-27",115332,104217.285714286
"35","2022-04-26",139218,113395.285714286
"36","2022-04-25",118714,116162.571428571
"37","2022-04-24",26943,104416.142857143
"38","2022-04-23",54298,105437.428571429
"39","2022-04-22",119435,105047
"40","2022-04-21",155581,96585.5714285714
"41","2022-04-20",179578,95864.7142857143
"42","2022-04-19",158589,92870.7142857143
"43","2022-04-18",36489,96270.1428571429
"44","2022-04-17",34092,111078.142857143
"45","2022-04-16",51565,112270.285714286
"46","2022-04-15",60205,115692.571428571
"47","2022-04-14",150535,127442.571428571
"48","2022-04-13",158620,129906.142857143
"49","2022-04-12",182385,134156.285714286
"50","2022-04-11",140145,138156.285714286
"51","2022-04-10",42437,140224.857142857
"52","2022-04-09",75521,140767.428571429
"53","2022-04-08",142455,143192
"54","2022-04-07",167780,148723
"55","2022-04-06",188371,157768.428571429
"56","2022-04-05",210385,167924.428571429
"57","2022-04-04",154625,177003
"58","2022-04-03",46235,184383.285714286
"59","2022-04-02",92493,187691.285714286
"60","2022-04-01",181172,194085.571428571
"61","2022-03-31",231098,202996.714285714
"62","2022-03-30",259463,210770.714285714
"63","2022-03-29",273935,217570.571428571
"64","2022-03-28",206287,221842.714285714
"65","2022-03-27",69391,226136.857142857
"66","2022-03-26",137253,228929.571428571
"67","2022-03-25",243550,229678.285714286
"68","2022-03-24",285516,231158.428571429
"69","2022-03-23",307062,232383.428571429
"70","2022-03-22",303840,232303
"71","2022-03-21",236346,229488.857142857
"72","2022-03-20",88940,225326.571428571
"73","2022-03-19",142494,225278.428571429
"74","2022-03-18",253911,226993.285714286
"75","2022-03-17",294091,224653.142857143
"76","2022-03-16",306499,218896.428571429
"77","2022-03-15",284141,212312.428571429
"78","2022-03-14",207210,206993.714285714
"79","2022-03-13",88603,200988.428571429
"80","2022-03-12",154498,199660.714285714
"81","2022-03-11",237530,195014.857142857
"82","2022-03-10",253794,188215.285714286
"83","2022-03-09",260411,182224.714285714
"84","2022-03-08",246910,174348.571428571
"85","2022-03-07",165173,166764.428571429
"86","2022-03-06",79309,161495.857142857
"87","2022-03-05",121977,158088.285714286
"88","2022-03-04",189933,156169.285714286
"89","2022-03-03",211860,153540.571428571
"90","2022-03-02",205278,150428.571428571
"91","2022-03-01",193821,150889.714285714
"92","2022-02-28",128293,154445
"93","2022-02-27",55456,156058.142857143
"94","2022-02-26",108544,157298.857142857
"95","2022-02-25",171532,158859.428571429
"96","2022-02-24",190076,159857
"97","2022-02-23",208506,163174
"98","2022-02-22",218708,166270.428571429
"99","2022-02-21",139585,167748.142857143
"100","2022-02-20",64141,170438.142857143
"101","2022-02-19",119468,171865.285714286
"102","2022-02-18",178515,172277.714285714
"103","2022-02-17",213295,176278.857142857
"104","2022-02-16",230181,178666.285714286
"105","2022-02-15",229052,181158.857142857
"106","2022-02-14",158415,184316
"107","2022-02-13",74131,187165
"108","2022-02-12",122355,188408.571428571
"109","2022-02-11",206523,189985.571428571
"110","2022-02-10",230007,190478.285714286
"111","2022-02-09",247629,191545.714285714
"112","2022-02-08",251152,190381.285714286
"113","2022-02-07",178358,187450.571428571
"114","2022-02-06",82836,184650.428571429
"115","2022-02-05",133394,183462.285714286
"116","2022-02-04",209972,182172.857142857
"117","2022-02-03",237479,178986.571428571
"118","2022-02-02",239478,173470.428571429
"119","2022-02-01",230637,167057.285714286
"120","2022-01-31",158757,161753.857142857
"121","2022-01-30",74519,158960.857142857
"122","2022-01-29",124368,157152.571428571
"123","2022-01-28",187668,153122
"124","2022-01-27",198866,146885.714285714
"125","2022-01-26",194586,139140
"126","2022-01-25",193513,131375.428571429
"127","2022-01-24",139206,121838.285714286
"128","2022-01-23",61861,113782.714285714
"129","2022-01-22",96154,110035.571428571
"130","2022-01-21",144014,104464.285714286
"131","2022-01-20",144646,95430.4285714286
"132","2022-01-19",140234,86785
"133","2022-01-18",126753,79386.4285714286
"134","2022-01-17",82817,73578.1428571429
"135","2022-01-16",35631,69425
"136","2022-01-15",57155,67727
"137","2022-01-14",80777,64853.8571428571
"138","2022-01-13",84128,61311.2857142857
"139","2022-01-12",88444,57338.5714285714
"140","2022-01-11",86095,53924.5714285714
"141","2022-01-10",53745,50841.8571428571
"142","2022-01-09",23745,48293
"143","2022-01-08",37043,46981.8571428571
