"","date","name","code","Daily deaths by date reported","Cumulative deaths by date reported","Seven-day average"
"1","2022-06-08","England","E92000001",85,155765,42.1428571428571
"2","2022-06-07","England","E92000001",132,155680,42.8571428571429
"3","2022-06-06","England","E92000001",78,155548,39.7142857142857
"4","2022-06-05","England","E92000001",0,155470,38.1428571428571
"5","2022-06-04","England","E92000001",0,155470,38.1428571428571
"6","2022-06-03","England","E92000001",0,155470,38.1428571428571
"7","2022-06-02","England","E92000001",0,155470,46.8571428571429
"8","2022-06-01","England","E92000001",90,155470,55.4285714285714
"9","2022-05-31","England","E92000001",110,155380,55.5714285714286
"10","2022-05-30","England","E92000001",67,155270,58
"11","2022-05-29","England","E92000001",0,155203,60.5714285714286
"12","2022-05-28","England","E92000001",0,155203,60.5714285714286
"13","2022-05-27","England","E92000001",61,155203,60.5714285714286
"14","2022-05-26","England","E92000001",60,155142,63.2857142857143
"15","2022-05-25","England","E92000001",91,155082,72.2857142857143
"16","2022-05-24","England","E92000001",127,154991,76.7142857142857
"17","2022-05-23","England","E92000001",85,154864,84.4285714285714
"18","2022-05-22","England","E92000001",0,154779,90.5714285714286
"19","2022-05-21","England","E92000001",0,154779,90.5714285714286
"20","2022-05-20","England","E92000001",80,154779,90.5714285714286
"21","2022-05-19","England","E92000001",123,154699,99.2857142857143
"22","2022-05-18","England","E92000001",122,154576,100
"23","2022-05-17","England","E92000001",181,154454,111.142857142857
"24","2022-05-16","England","E92000001",128,154273,124.142857142857
"25","2022-05-15","England","E92000001",0,154145,131.571428571429
"26","2022-05-14","England","E92000001",0,154145,131.571428571429
"27","2022-05-13","England","E92000001",141,154145,131.571428571429
"28","2022-05-12","England","E92000001",128,154004,140.428571428571
"29","2022-05-11","England","E92000001",200,153876,178.285714285714
"30","2022-05-10","England","E92000001",272,153676,177.571428571429
"31","2022-05-09","England","E92000001",180,153404,191.142857142857
"32","2022-05-08","England","E92000001",0,153224,165.428571428571
"33","2022-05-07","England","E92000001",0,153224,165.428571428571
"34","2022-05-06","England","E92000001",203,153224,165.428571428571
"35","2022-05-05","England","E92000001",393,153021,162.428571428571
"36","2022-05-04","England","E92000001",195,152628,135.428571428571
"37","2022-05-03","England","E92000001",367,152433,145
"38","2022-05-02","England","E92000001",0,152066,151.571428571429
"39","2022-05-01","England","E92000001",0,152066,193.571428571429
"40","2022-04-30","England","E92000001",0,152066,193.571428571429
"41","2022-04-29","England","E92000001",182,152066,193.571428571429
"42","2022-04-28","England","E92000001",204,151884,202.285714285714
"43","2022-04-27","England","E92000001",262,151680,262.285714285714
"44","2022-04-26","England","E92000001",413,151418,288.142857142857
"45","2022-04-25","England","E92000001",294,151005,287.857142857143
"46","2022-04-24","England","E92000001",0,150711,245.857142857143
"47","2022-04-23","England","E92000001",0,150711,245.857142857143
"48","2022-04-22","England","E92000001",243,150711,245.857142857143
"49","2022-04-21","England","E92000001",624,150468,211.142857142857
"50","2022-04-20","England","E92000001",443,149844,164.142857142857
"51","2022-04-19","England","E92000001",411,149401,188.714285714286
"52","2022-04-18","England","E92000001",0,148990,164.285714285714
"53","2022-04-17","England","E92000001",0,148990,207.285714285714
"54","2022-04-16","England","E92000001",0,148990,207.285714285714
"55","2022-04-15","England","E92000001",0,148990,207.285714285714
"56","2022-04-14","England","E92000001",295,148990,250.428571428571
"57","2022-04-13","England","E92000001",615,148695,247.428571428571
"58","2022-04-12","England","E92000001",240,148080,185.857142857143
"59","2022-04-11","England","E92000001",301,147840,196.285714285714
"60","2022-04-10","England","E92000001",0,147539,175
"61","2022-04-09","England","E92000001",0,147539,175
"62","2022-04-08","England","E92000001",302,147539,175
"63","2022-04-07","England","E92000001",274,147237,151
"64","2022-04-06","England","E92000001",184,146963,131.285714285714
"65","2022-04-05","England","E92000001",313,144065,127.285714285714
"66","2022-04-04","England","E92000001",152,143752,118.428571428571
"67","2022-04-03","England","E92000001",0,143600,117.142857142857
"68","2022-04-02","England","E92000001",0,143600,117.142857142857
"69","2022-04-01","England","E92000001",134,143600,117.142857142857
"70","2022-03-31","England","E92000001",136,143466,115.571428571429
"71","2022-03-30","England","E92000001",156,143330,112
"72","2022-03-29","England","E92000001",251,143174,109.285714285714
"73","2022-03-28","England","E92000001",143,142923,102
"74","2022-03-27","England","E92000001",0,142780,99.7142857142857
"75","2022-03-26","England","E92000001",0,142780,99.7142857142857
"76","2022-03-25","England","E92000001",123,142780,99.7142857142857
"77","2022-03-24","England","E92000001",111,142657,95.7142857142857
"78","2022-03-23","England","E92000001",137,142546,94.1428571428571
"79","2022-03-22","England","E92000001",200,142409,91.1428571428571
"80","2022-03-21","England","E92000001",127,142209,86.5714285714286
"81","2022-03-20","England","E92000001",0,142082,86.2857142857143
"82","2022-03-19","England","E92000001",0,142082,86.2857142857143
"83","2022-03-18","England","E92000001",95,142082,86.2857142857143
"84","2022-03-17","England","E92000001",100,141987,85.1428571428571
"85","2022-03-16","England","E92000001",116,141887,84.4285714285714
"86","2022-03-15","England","E92000001",168,141771,81.4285714285714
"87","2022-03-14","England","E92000001",125,141603,82
"88","2022-03-13","England","E92000001",0,141478,79.4285714285714
"89","2022-03-12","England","E92000001",0,141478,79.4285714285714
"90","2022-03-11","England","E92000001",87,141478,79.4285714285714
"91","2022-03-10","England","E92000001",95,141391,78.4285714285714
"92","2022-03-09","England","E92000001",95,141296,85.4285714285714
"93","2022-03-08","England","E92000001",172,141201,77.8571428571429
"94","2022-03-07","England","E92000001",107,141029,75.8571428571429
"95","2022-03-06","England","E92000001",0,140922,75.7142857142857
"96","2022-03-05","England","E92000001",0,140922,75.7142857142857
"97","2022-03-04","England","E92000001",80,140922,75.7142857142857
"98","2022-03-03","England","E92000001",144,140842,78.1428571428571
"99","2022-03-02","England","E92000001",42,140698,71.7142857142857
"100","2022-03-01","England","E92000001",158,140656,85.7142857142857
"101","2022-02-28","England","E92000001",106,140498,87.4285714285714
"102","2022-02-27","England","E92000001",0,140392,73.7142857142857
"103","2022-02-26","England","E92000001",0,140392,83.5714285714286
"104","2022-02-25","England","E92000001",97,140392,101.142857142857
"105","2022-02-24","England","E92000001",99,140295,105.857142857143
"106","2022-02-23","England","E92000001",140,140196,114
"107","2022-02-22","England","E92000001",170,140056,118.285714285714
"108","2022-02-21","England","E92000001",10,139886,124.571428571429
"109","2022-02-20","England","E92000001",69,139876,126.428571428571
"110","2022-02-19","England","E92000001",123,139807,123.714285714286
"111","2022-02-18","England","E92000001",130,139684,127.142857142857
"112","2022-02-17","England","E92000001",156,139554,131.428571428571
"113","2022-02-16","England","E92000001",170,139398,133.428571428571
"114","2022-02-15","England","E92000001",214,139228,143.714285714286
"115","2022-02-14","England","E92000001",23,139014,155.142857142857
"116","2022-02-13","England","E92000001",50,138991,156.714285714286
"117","2022-02-12","England","E92000001",147,138941,158.285714285714
"118","2022-02-11","England","E92000001",160,138794,170.428571428571
"119","2022-02-10","England","E92000001",170,138634,180.142857142857
"120","2022-02-09","England","E92000001",242,138464,192.714285714286
"121","2022-02-08","England","E92000001",294,138222,232.285714285714
"122","2022-02-07","England","E92000001",34,137928,216.714285714286
"123","2022-02-06","England","E92000001",61,137894,217.142857142857
"124","2022-02-05","England","E92000001",232,137833,219.142857142857
"125","2022-02-04","England","E92000001",228,137601,225.285714285714
"126","2022-02-03","England","E92000001",258,137373,228
"127","2022-02-02","England","E92000001",519,137115,234.285714285714
"128","2022-02-01","England","E92000001",185,136596,203
"129","2022-01-31","England","E92000001",37,135509,235
"130","2022-01-30","England","E92000001",75,135472,236
"131","2022-01-29","England","E92000001",275,135397,233.571428571429
"132","2022-01-28","England","E92000001",247,135122,231.714285714286
"133","2022-01-27","England","E92000001",302,134875,232.857142857143
