"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"1","2022-01-18","England","E92000001",NA,614,16218,NA,634.142857142857,16518
"2","2022-01-17","England","E92000001",NA,623,16621,NA,644.428571428571,16621
"3","2022-01-16","England","E92000001",1768,619,16372,1891.71428571429,656.428571428571,16692.2857142857
"4","2022-01-15","England","E92000001",1604,608,16281,1921.28571428571,668.571428571429,16696.1428571429
"5","2022-01-14","England","E92000001",1692,637,16537,1958.14285714286,682.857142857143,16660.8571428571
"6","2022-01-13","England","E92000001",1916,666,16716,1969.57142857143,695.857142857143,16607.4285714286
"7","2022-01-12","England","E92000001",1955,672,16881,1987.71428571429,709.571428571429,16513.4285714286
"8","2022-01-11","England","E92000001",2127,686,16939,2014,723.428571428571,16338.8571428571
"9","2022-01-10","England","E92000001",2180,707,17120,2010.28571428571,739.285714285714,16068.1428571429
"10","2022-01-09","England","E92000001",1975,704,16399,2015.85714285714,749.285714285714,15652.4285714286
"11","2022-01-08","England","E92000001",1862,708,16034,2002.42857142857,758.571428571429,15188.4285714286
"12","2022-01-07","England","E92000001",1772,728,16163,1996.28571428571,766.714285714286,14700
"13","2022-01-06","England","E92000001",2043,762,16058,1997.57142857143,775.428571428571,14161.7142857143
"14","2022-01-05","England","E92000001",2139,769,15659,2007.71428571429,778.285714285714,13503.7142857143
"15","2022-01-04","England","E92000001",2101,797,15044,2040.71428571429,778.571428571429,12761.2857142857
"16","2022-01-03","England","E92000001",2219,777,14210,2038,773,11975.8571428571
"17","2022-01-02","England","E92000001",1881,769,13151,1971.14285714286,772.857142857143,11156.4285714286
"18","2022-01-01","England","E92000001",1819,765,12615,1898.71428571429,771.285714285714,10354.2857142857
"19","2021-12-31","England","E92000001",1781,789,12395,1821.85714285714,768.428571428571,9575.85714285714
"20","2021-12-30","England","E92000001",2114,782,11452,1713.14285714286,761.714285714286,8857.42857142857
"21","2021-12-29","England","E92000001",2370,771,10462,1590,756.714285714286,8237.71428571429
"22","2021-12-28","England","E92000001",2082,758,9546,1429.42857142857,753,7754.57142857143
"23","2021-12-27","England","E92000001",1751,776,8474,1288.85714285714,752.857142857143,7376.85714285714
"24","2021-12-26","England","E92000001",1374,758,7536,1190.28571428571,751.714285714286,7121.71428571429
"25","2021-12-25","England","E92000001",1281,745,7166,1126.28571428571,753,6964.28571428571
"26","2021-12-24","England","E92000001",1020,742,7366,1048.28571428571,756.142857142857,6838.71428571429
"27","2021-12-23","England","E92000001",1252,747,7114,1008.71428571429,762.857142857143,6689.42857142857
"28","2021-12-22","England","E92000001",1246,745,7080,940.857142857143,768,6588.14285714286
"29","2021-12-21","England","E92000001",1098,757,6902,877.857142857143,773.857142857143,6485
"30","2021-12-20","England","E92000001",1061,768,6688,837.428571428571,779.285714285714,6418.14285714286
"31","2021-12-19","England","E92000001",926,767,6434,799.285714285714,783.142857142857,6376.28571428571
"32","2021-12-18","England","E92000001",735,767,6287,777.285714285714,786.142857142857,6346.14285714286
"33","2021-12-17","England","E92000001",743,789,6321,771.714285714286,788.714285714286,6318.71428571429
"34","2021-12-16","England","E92000001",777,783,6405,766.571428571429,789.285714285714,6285.42857142857
"35","2021-12-15","England","E92000001",805,786,6358,769.714285714286,790.571428571429,6246.14285714286
"36","2021-12-14","England","E92000001",815,795,6434,762.428571428571,789.428571428571,6202.57142857143
"37","2021-12-13","England","E92000001",794,795,6395,760.142857142857,787.142857142857,6144.42857142857
"38","2021-12-12","England","E92000001",772,788,6223,751.857142857143,786.857142857143,6086.85714285714
"39","2021-12-11","England","E92000001",696,785,6095,745.571428571429,784.285714285714,6041.14285714286
"40","2021-12-10","England","E92000001",707,793,6088,736.857142857143,782.857142857143,5996.71428571429
"41","2021-12-09","England","E92000001",799,792,6130,725,781.428571428571,5962.85714285714
"42","2021-12-08","England","E92000001",754,778,6053,713.571428571429,778.857142857143,5932.14285714286
"43","2021-12-07","England","E92000001",799,779,6027,705.571428571429,778.142857142857,5900.14285714286
"44","2021-12-06","England","E92000001",736,793,5992,691.285714285714,782,5913.85714285714
"45","2021-12-05","England","E92000001",728,770,5903,681.714285714286,782,5928.42857142857
"46","2021-12-04","England","E92000001",635,775,5784,664.428571428571,785.285714285714,5926.57142857143
