"","date","name","age","sum.vaccineRegister","sum.secondDose","sum.thirdDose","sum.firstDoseOnly","sum.noVaccine","sum.secondDoseOnly","Three doses","Two doses only","First dose only","No vaccine","Two doses"
"1","2022-02-16","England","12-15",2887706,677830,3781,929786,1280090,674049,0.130934381824188,23.3420230452823,32.1980838769598,44.3289586959337,23.4729574271065
"2","2022-02-16","England","16-17",1375949,673236,95967,252881,449832,577269,6.974604436647,41.9542439436345,18.3786608369932,32.6924907827252,48.9288483802815
"3","2022-02-16","England","18-29",9966126,6259134,3470636,706615,3000377,2788498,34.8243239148291,27.9797586343982,7.09016723248331,30.1057502182894,62.8040825492272
"4","2022-02-16","England","30-39",9452683,6337233,4183393,422813,2692637,2153840,44.2561439963659,22.7854885221476,4.4729417034296,28.4854257780569,67.0416325185135
"5","2022-02-16","England","40-49",8218656,6364847,4957181,235064,1618745,1407666,60.3162001183648,17.1276909509292,2.86012700860092,19.695981922105,77.4438910692941
"6","2022-02-16","England","50-59",8371768,7237374,6328199,149444,984950,909175,75.5897559511921,10.8600118875726,1.78509485690478,11.7651373043305,86.4497678387648
"7","2022-02-16","England","60-69",6422959,5817040,5409337,79387,526532,407703,84.2187689505725,6.34758839344919,1.23598796131191,8.19765469466643,90.5663573440217
"8","2022-02-16","England","70-79",4991823,4714989,4552973,38520,238314,162016,91.2086225813696,3.24562789986744,0.771661975995543,4.77408754276744,94.454250481237
"9","2022-02-16","England","80-89",2282407,2174500,2087198,15059,92848,87302,91.4472309277004,3.82499703164247,0.659785918988156,4.06798612166892,95.2722279593429
"10","2022-02-16","England","90+",474268,443826,420961,3456,26986,22865,88.760152487623,4.82111380063593,0.728701915372743,5.6900317963683,93.581266288259
